team_name,team_id,gameday,points,league_member_name,display_name
Team Joshi,240920202,19,164.0,Saurabh,Saurabh
Scarlet Challengers,243890103,19,84.0,Kunj,Kunj
T20 Warriors XI,248520808,19,73.0,Atharva,Atharva
Bens XI,143920506,19,58.0,Ben,Ben
Ravs XI,136580310,19,29.0,Ravtaj,Ravtaj
BlAcKKaTs,117061010,19,0.0,Yash,Yash
LazyBoys,623050307,19,0.0,Rajesh,Rajesh
RKDEleven,318100410,19,0.0,Rohit,Rohit
Sidhsdevilseye,243650709,19,0.0,Sidhu,Sidhu
Bens XI,143920506,20,889.0,Ben,Ben
Ravs XI,136580310,20,453.5,Ravtaj,Ravtaj
Kinkartvyavimudh,255290408,20,390.0,Abhishek,Abhishek
SanjuPaglu,230850202,20,310.0,Bijil,Bijil
Ashray Team,152250802,20,294.5,Ashray,Ashray
NSKNEMESIS,108160402,20,287.5,,NSKNEMESIS
LazyBoys,623050307,20,251.0,Rajesh,Rajesh
aksesa11,242840109,20,231.5,Akshay,Akshay
BlAcKKaTs,117061010,20,203.5,Yash,Yash
RKDEleven,318100410,20,155.0,Rohit,Rohit
Team Joshi,240920202,20,129.0,Saurabh,Saurabh
Sidhsdevilseye,243650709,20,34.0,Sidhu,Sidhu
T20 Warriors XI,248520808,20,33.0,Atharva,Atharva
Scarlet Challengers,243890103,20,0.0,Kunj,Kunj
Sunny super kings,243670206,20,0.0,Harpreet,Harpreet
BlAcKKaTs,117061010,21,807.0,Yash,Yash
Scarlet Challengers,243890103,21,640.0,Kunj,Kunj
Sunny super kings,243670206,21,509.5,Harpreet,Harpreet
RKDEleven,318100410,21,386.5,Rohit,Rohit
Kinkartvyavimudh,255290408,21,325.5,Abhishek,Abhishek
Ashray Team,152250802,21,161.0,Ashray,Ashray
Bens XI,143920506,21,124.0,Ben,Ben
aksesa11,242840109,21,52.5,Akshay,Akshay
NSKNEMESIS,108160402,21,43.0,,NSKNEMESIS
Ravs XI,136580310,21,26.0,Ravtaj,Ravtaj
T20 Warriors XI,248520808,21,24.0,Atharva,Atharva
SanjuPaglu,230850202,21,2.0,Bijil,Bijil
Team Joshi,240920202,21,2.0,Saurabh,Saurabh
LazyBoys,623050307,21,0.0,Rajesh,Rajesh
Sidhsdevilseye,243650709,21,0.0,Sidhu,Sidhu
aksesa11,242840109,22,414.0,Akshay,Akshay
NSKNEMESIS,108160402,22,399.0,,NSKNEMESIS
Ashray Team,152250802,22,331.0,Ashray,Ashray
T20 Warriors XI,248520808,22,327.0,Atharva,Atharva
Kinkartvyavimudh,255290408,22,315.0,Abhishek,Abhishek
Team Joshi,240920202,22,303.0,Saurabh,Saurabh
Scarlet Challengers,243890103,22,270.5,Kunj,Kunj
Sidhsdevilseye,243650709,22,246.0,Sidhu,Sidhu
